Titre,album,Artiste,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Blame (feat. John Newman),Motion,Calvin Harris,2014-10-31,212960,5,0.0287,0.414,0.857,0.0057399999999999994,0.34299999999999997,-4.078,0.0808,128.024,4
Elas Gostam de Gasolina - Ao Vivo,In Casa (Ao Vivo),Anderson & Vei da Pisadinha,2020-09-09,173468,2,0.0483,0.816,0.809,0.000246,0.0526,-6.849,0.10099999999999999,169.894,4
Maçã Verde,Avisa que é o Funk,MC Hariel,2020-10-09,164307,5,0.0428,0.5820000000000001,0.531,7.39e-06,0.1,-3.725,0.0905,85.322,5
Paypal,Tudo Roxo,Teto,2021-02-27,180228,3,0.255,0.903,0.527,0.0,0.256,-5.01,0.336,130.204,4
Such a Whore (Potato Remix),Such a Whore (Potato Remix),JVLA,2020-06-16,164375,3,0.0981,0.653,0.637,0.0162,0.0715,-4.565,0.0465,151.803,4
Eu Feat. Você,Hits das Mulheres,Various Artists,2021-03-05,185124,1,0.593,0.654,0.45299999999999996,0.0,0.109,-9.522,0.046,100.053,4
How You Like That,THE ALBUM,BLACKPINK,2020-10-02,182956,5,0.0465,0.812,0.7609999999999999,0.000135,0.0601,-5.222,0.0812,130.032,4
Amores E Flores,Hits das Mulheres,Various Artists,2021-03-05,171366,1,0.5579999999999999,0.631,0.605,0.0,0.258,-7.3660000000000005,0.0418,82.055,4
I Got You,I Got You,Zeeba,2020-10-09,189095,2,0.21100000000000002,0.639,0.7070000000000001,6.23e-05,0.124,-8.259,0.0706,94.037,4
Desce Pro Play (PA PA PA),Matheus & Kauan: Melhores do Meu 2020,Matheus & Kauan,2020-12-21,168507,1,0.077,0.935,0.711,1.84e-06,0.17300000000000001,-5.085,0.157,100.009,4
Paranoid - 2012 - Remaster,Paranoid (Remaster),Black Sabbath,1970-09-18,168405,4,4.52e-05,0.41200000000000003,0.6579999999999999,0.0007740000000000001,0.17600000000000002,-12.050999999999998,0.0708,163.071,4
Girls Go Wild,Heart to Mouth,LP,2018-12-07,223426,3,0.0482,0.711,0.868,0.00426,0.0709,-4.363,0.046,122.029,4
Abstinência,Abstinência,Yasmin Santos,2020-08-27,218471,4,0.309,0.598,0.616,0.0,0.0807,-5.091,0.0297,98.04,4
Falling,Falling,Trevor Daniel,2018-10-05,159381,5,0.12300000000000001,0.785,0.431,0.0,0.0887,-8.756,0.0364,127.085,4
Every Breath You Take - Tropical House Remix,Every Breath You Take (Tropical House Remix),Jordan Kaahn,2016-05-05,207203,1,0.376,0.6759999999999999,0.525,0.0613,0.0545,-13.288,0.0404,116.98299999999999,4
Out of My League,More Than Just a Dream (Deluxe Edition),Fitz and The Tantrums,2013-05-07,209386,4,0.0387,0.545,0.968,0.00325,0.331,-3.553,0.0853,169.965,4
City,City,Kristen Marie,2016-10-10,192096,1,0.804,0.3,0.316,1.32e-05,0.0977,-7.606,0.0302,95.04299999999999,4
Right Here Waiting,Repeat Offender,Richard Marx,1989-01-01,264333,5,0.8,0.395,0.252,0.0,0.10099999999999999,-13.589,0.0301,177.679,4
It's a Fluke,Zeski,Tiago Iorc,2013-07-29,204013,2,0.8290000000000001,0.667,0.37200000000000005,0.569,0.106,-12.136,0.0321,132.886,4
M4 Gritando Meu Nome,Lemon Haze,Teto,2021-01-15,138913,3,0.151,0.9670000000000001,0.365,0.0,0.163,-11.298,0.386,120.03399999999999,4
Lance Individual,Lance Individual,Jorge & Mateus,2020-11-13,164458,5,0.309,0.752,0.62,0.0,0.075,-5.5360000000000005,0.0509,117.399,4
Livin' On A Prayer,Slippery When Wet,Bon Jovi,1986-08-16,249293,5,0.0778,0.532,0.887,0.00021400000000000002,0.294,-3.7569999999999997,0.0335,122.51100000000001,4
Meia Noite (Você tem meu Whatsapp),Meia Noite (Você tem meu Whatsapp),Tarcísio do Acordeon,2020-12-01,237900,5,0.685,0.7090000000000001,0.816,0.0,0.146,-4.787,0.0346,150.06,4
Senta no Fazendeiro,Senta no Fazendeiro,Mc Jacaré,2019-07-01,146233,4,0.569,0.727,0.601,0.0,0.0566,-5.037,0.052000000000000005,130.05700000000002,4
Facas - Ao Vivo,Facas (Ao Vivo),Diego & Victor Hugo,2020-10-15,196379,5,0.615,0.44299999999999995,0.509,0.0,0.47200000000000003,-5.995,0.0536,160.984,4
House Of The Rising Sun,The Animals,The Animals,1964-01-01,271280,4,0.00038500000000000003,0.295,0.584,0.218,0.0996,-6.696000000000001,0.0345,117.2,3
Dog Days Are Over,Lungs (Deluxe Edition),Florence + The Machine,2009,251840,4,0.0416,0.49200000000000005,0.81,0.00379,0.11699999999999999,-5.315,0.0847,149.954,4
None But Jesus,(in the meantime) [Vol. II],Hillsong UNITED,2020-12-11,371586,2,0.245,0.326,0.455,0.00057,0.0626,-8.812000000000001,0.031,139.516,4
Birds,Origins (Deluxe),Imagine Dragons,2018-11-09,219440,4,0.0146,0.649,0.517,1.63e-06,0.145,-7.428,0.0297,119.99700000000001,4
New Wine,There Is More (Studio Sessions),Hillsong Worship,2018-07-13,242720,2,0.606,0.5,0.22699999999999998,0.0,0.115,-11.61,0.032,139.993,4
"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,2011-10-11,207333,5,0.0525,0.715,0.655,0.0,0.115,-6.425,0.13699999999999998,95.07799999999999,4
Snow Crystal,Snow Crystal,Babalos,2019-06-27,322063,3,0.0127,0.5489999999999999,0.9470000000000001,0.122,0.9209999999999999,-4.091,0.10300000000000001,185.002,4
Don’t Wait,Hey Hey,Mapei,2014-01-01,215648,2,0.0825,0.748,0.496,0.0,0.163,-6.119,0.0557,98.971,4
We Dem Boyz,Blacc Hollywood (Deluxe),Wiz Khalifa,2014-08-19,224933,4,0.00689,0.7170000000000001,0.862,0.0,0.321,-4.736000000000001,0.054000000000000006,130.02100000000002,4
Réquiem para Matraga,Pra Não Dizer Que Não Falei das Flores,Geraldo Vandre,1979-01-01,139000,1,0.875,0.282,0.21899999999999997,0.0303,0.10800000000000001,-16.057000000000002,0.0377,147.236,3
Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,5,0.581,0.825,0.652,0.0,0.0931,-3.1830000000000003,0.0802,95.977,4
Rome Wasn't Built in a Day,Fragments of Freedom,Morcheeba,2000-07-10,214719,3,0.0769,0.61,0.807,2.64e-06,0.376,-4.997,0.0305,112.031,4
What Did I Ask For,What Did I Ask For,MARKS,2018-11-30,187758,1,0.818,0.38,0.127,6.77e-05,0.106,-12.165,0.0529,70.45,4
Calabria - Firebeatz Remix,Calabria (Firebeatz Remix),Rune RK,2014-10-27,221250,3,0.000732,0.636,0.879,0.446,0.324,-2.862,0.0702,128.004,4
Último Beijo,Último Beijo,Bruno & Marrone,2020-11-27,181279,5,0.528,0.5820000000000001,0.899,0.0,0.247,-3.531,0.14300000000000002,156.621,4
É Problema,Domingo de Paredao,Various Artists,2021-02-26,184149,1,0.486,0.626,0.7759999999999999,0.0,0.10800000000000001,-6.66,0.18899999999999997,129.765,4
Breathe,Breathe,Faith Hill,1999-11-09,250546,4,0.17300000000000001,0.529,0.496,0.0,0.251,-9.007,0.028999999999999998,136.859,4
Tudo Indica (feat. Jorge & Mateus) - Ao Vivo,Cumpra-se (Ao Vivo),Marcos & Belutti,2020-09-10,183013,5,0.127,0.536,0.8540000000000001,0.0,0.107,-4.012,0.0637,75.95,4
Mirror Masa (I Think I'm Fallin' for Ya),Mirror Masa (I Think I'm Fallin' for Ya),Dathan,2019-12-29,138008,4,0.113,0.469,0.735,0.27399999999999997,0.217,-8.395,0.0471,130.13299999999998,4
Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack / Deluxe Version),Various Artists,2013-01-01,155586,4,0.597,0.575,0.5710000000000001,0.00015900000000000002,0.10800000000000001,-9.291,0.10099999999999999,110.993,4
Golpe Trocado,Golpe Trocado,Mc Frog,2020-11-27,121846,4,0.794,0.716,0.597,0.0039700000000000004,0.0604,-5.909,0.292,88.531,5
"Gone, Gone, Gone",The World From The Side Of The Moon (Deluxe),Phillip Phillips,2013-01-01,209693,4,0.129,0.664,0.642,0.0,0.114,-5.961,0.038,118.00200000000001,4
ICE (feat. MORGENSHTERN),ICE (feat. MORGENSHTERN),MORGENSHTERN,2020-07-31,126000,4,0.081,0.8590000000000001,0.8759999999999999,0.00137,0.385,-5.14,0.368,151.89600000000002,4
Waves,A Place We Knew,Dean Lewis,2019-03-22,240013,5,0.183,0.518,0.7290000000000001,0.0,0.0643,-7.193,0.0452,156.879,4
Radio Ga Ga - Live Aid,Bohemian Rhapsody (The Original Soundtrack),Queen,2018-10-19,245680,2,0.0138,0.406,0.934,0.0,0.955,-6.667999999999999,0.0845,118.823,4
NINGUÉM ME ENSINOU,NINGUÉM ME ENSINOU,Lagum,2020-10-02,157705,4,0.0221,0.684,0.644,1.8e-05,0.0664,-7.69,0.0509,127.866,4
"Magrão do Wagner 2 (feat. MC GW, DJ Patrick Muniz, MC Denny & MC VN 085)","Magrão do Wagner 2 (feat. MC GW, DJ Patrick Muniz, MC Denny & MC VN 085)",MC Renatinho Falcão,2020-12-02,195790,3,0.527,0.945,0.917,4.55e-06,0.3,-2.763,0.253,130.00799999999998,4
True Colors,True Colors,Cyndi Lauper,1986-10-14,227600,4,0.701,0.397,0.207,3.07e-05,0.11599999999999999,-13.155,0.0331,171.282,4
Save Me,This Time Around,Hanson,2000-01-01,222573,3,0.0205,0.541,0.807,0.0,0.259,-5.332999999999999,0.03,145.124,4
Gang Shit No Lame Shit,Glockoma,Key Glock,2018-11-23,131600,4,0.0394,0.828,0.434,0.0,0.0806,-10.609000000000002,0.301,115.071,4
Blue Monday - Vandalism Remix,Blue Monday,Kurd Maverick,2009-03-30,370105,1,0.0034200000000000003,0.843,0.9009999999999999,0.593,0.597,-3.583,0.10400000000000001,126.999,4
O Tempo Não Espera Ninguém,Pra Ouvir No Fone,Michel Teló,2020-12-04,265816,4,0.8320000000000001,0.644,0.39799999999999996,0.0,0.12300000000000001,-6.886,0.031,115.69,3
Wing$,The Heist,Macklemore & Ryan Lewis,2012-10-09,298640,4,0.353,0.4,0.602,0.0,0.191,-6.9879999999999995,0.19699999999999998,74.142,4
"Ele É Ele, Eu Sou Eu",Safadão Amplificado,Wesley Safadão,2020-11-12,155209,5,0.23,0.758,0.763,1.3300000000000001e-05,0.0703,-8.754,0.0768,163.946,4
Western Stars,Western Stars,Bruce Springsteen,2019-06-14,278813,2,0.6809999999999999,0.633,0.263,0.00045,0.233,-10.705,0.0263,107.057,4
7 Years,Lukas Graham,Lukas Graham,2016-04-01,237300,5,0.287,0.765,0.473,0.0,0.391,-5.829,0.0514,119.992,4
On & On,On & On,Alok,2019-11-22,147026,5,0.0233,0.747,0.7759999999999999,1.3800000000000002e-05,0.7609999999999999,-5.898,0.0722,125.07,4
Beat Eu Era (Funk Remix),Beat Eu Era (Funk Remix),Sr. Nescau,2020-12-16,130681,3,0.21100000000000002,0.863,0.903,0.0,0.0956,-2.126,0.14800000000000002,129.86700000000002,4
Magic,A Wrinkle in Time (Original Motion Picture Soundtrack),Various Artists,2018-03-09,209666,2,0.24,0.45399999999999996,0.655,6.2e-05,0.106,-6.71,0.247,170.38099999999997,4
Happier,GIRLS & FUN Music Party,Various Artists,2021-03-05,214289,1,0.191,0.687,0.792,0.0,0.16699999999999998,-2.7489999999999997,0.0452,100.01100000000001,4
Spanish Guitar,The Heat,Toni Braxton,2000,289000,3,0.44,0.624,0.562,5.19e-06,0.175,-6.504,0.0387,120.04299999999999,4
"25 É Natal, 31 É Ano Novo (feat. MC GW)","25 É Natal, 31 É Ano Novo (feat. MC GW)",Barca Na Batida,2020-11-13,160757,2,0.20199999999999999,0.807,0.7609999999999999,0.00035099999999999997,0.0803,-5.111000000000001,0.124,164.993,4
Coração Na Cama,"No Pelo 3, Pt. 1",Hugo & Guilherme,2020-11-13,173226,5,0.6629999999999999,0.764,0.794,0.0,0.34,-4.096,0.0589,110.01299999999999,4
Tá Rocheda - Ao Vivo,Conquistas (Ao Vivo),Os Barões Da Pisadinha,2020-10-16,214824,2,0.608,0.631,0.9640000000000001,2.8600000000000004e-05,0.98,-2.404,0.0618,172.08,4
Angels Like You,Plastic Hearts,Miley Cyrus,2020-11-27,196453,5,0.0981,0.672,0.642,0.0,0.1,-4.035,0.0313,121.98100000000001,4
Do You Love Me - Mono Single,20th Century Masters: The Millennium Collection: Best Of The Contours,The Contours,2003-01-01,172400,3,0.43200000000000005,0.62,0.81,0.0,0.0843,-6.593999999999999,0.039,150.737,4
What A Shame - Acoustic,What A Shame,Leyla Blue,2020-12-09,131830,2,0.7290000000000001,0.764,0.465,0.0,0.0797,-6.047999999999999,0.324,141.864,4
Desce Deslizando,Desce Deslizando,Lucas Boquinha,2021-01-21,128548,3,0.53,0.642,0.833,0.0,0.128,-4.132,0.0631,188.09900000000002,4
Na Ponta do Pé 2,Na Ponta do Pé 2,Mc Livinho,2020-12-18,214727,4,0.47200000000000003,0.5920000000000001,0.76,1.05e-06,0.0906,-0.573,0.14800000000000002,65.994,4
Yellow,Crazy Rich Asians (Original Motion Picture Soundtrack),Various Artists,2018-08-10,248753,2,0.19699999999999998,0.29600000000000004,0.35600000000000004,2.16e-06,0.0987,-10.904000000000002,0.0327,186.31099999999998,4
"Bufalo Bill, Pt. 2","Bufalo Bill, Pt. 2",DJ Dudu Rody,2020-12-13,171455,2,0.0459,0.772,0.8590000000000001,0.14800000000000002,0.257,-0.115,0.0898,130.084,4
Dancing With Myself - EP Version,Greatest Hits,Billy Idol,2001-01-01,290426,2,0.00186,0.442,0.878,0.0,0.583,-6.382000000000001,0.083,176.875,4
Never Knew Love Like This Before,Classic Soul,Various Artists,2019-02-22,327933,2,0.38,0.727,0.716,0.0,0.0719,-7.956,0.0392,113.18299999999999,4
"Radio Ga Ga (feat. Ross Lynch, Jaz Sinclair, Lachlan Watson & Jonathan Whitesell)",Chilling Adventures of Sabrina: Pt. 4 (Original Television Soundtrack),Cast of Chilling Adventures of Sabrina,2021-01-01,206240,2,0.113,0.665,0.648,0.0,0.0821,-7.085,0.0364,113.994,4
Eu Tenho Medo,O Original,Zé Vaqueiro,2020-10-01,216835,5,0.615,0.601,0.895,0.0,0.192,-2.123,0.0385,150.029,4
Fame - A COLORS ENCORE,Fame - A COLORS ENCORE,Rema,2020-05-21,111074,3,0.0249,0.9259999999999999,0.49700000000000005,0.0,0.0909,-10.821,0.20600000000000002,121.00200000000001,4
Dilemma (feat. Kelly Rowland),Simply Deep,Kelly Rowland,2002-10-22,289666,3,0.185,0.736,0.518,1.51e-05,0.147,-9.333,0.182,168.12099999999998,4
Vibe Zabuza,Vibe Zabuza,MHRAP,2020-02-08,215839,3,0.675,0.804,0.804,0.0,0.068,-2.591,0.245,140.094,4
3Por10,3Por10,Death $quad,2020-03-07,162962,3,0.0294,0.838,0.619,0.0,0.0616,-8.549,0.287,162.075,4
Camisa do Flamengo,Camisa do Flamengo,MC Meno K,2021-02-06,133700,3,0.301,0.831,0.976,0.0226,0.0548,1.729,0.174,139.85299999999998,4
Xerecard (feat. Mc Danny),Paredão do Jeff no Último Volume,Jeff Costa,2020-06-12,236225,2,0.429,0.9329999999999999,0.8320000000000001,0.000713,0.24600000000000002,-3.315,0.0411,125.97,4
Bora,Pancadão Lambadão,Forró Cintura de Mola,2018-06-05,181864,3,0.545,0.77,0.8540000000000001,1.65e-06,0.0558,-5.643,0.0388,126.02600000000001,4
Casa,Casa,Nina Fernandes,2018-12-14,251046,2,0.0796,0.6579999999999999,0.71,0.0035700000000000003,0.0727,-8.459,0.0289,128.037,4
Nessa Paz Eu Vou,Cachoeira Vibes,Various Artists,2021-02-26,212467,1,0.563,0.703,0.298,0.0,0.0994,-11.828,0.057999999999999996,132.809,4
Ô Moça,Ô Moça,MC Zaquin,2020-12-21,180923,5,0.48100000000000004,0.84,0.495,0.0,0.0853,-5.155,0.0797,130.041,4
Matéria de Hoje,Eixta Muresta!,Bonde do gato preto,2021-01-22,149975,3,0.33899999999999997,0.934,0.595,0.0,0.158,-6.526,0.0482,129.991,4
My Sweet Lord - Remastered 2014,All Things Must Pass (Remastered 2014),George Harrison,1970-11-27,281226,5,0.0972,0.537,0.701,0.0,0.0832,-8.913,0.0335,120.919,4
Moda,Moda,Massaru,2020-07-12,120723,4,0.0846,0.9159999999999999,0.542,0.0,0.055,-7.778,0.38,129.81799999999998,4
Felicidade,Feito Pra Acabar,Marcelo Jeneci,2010-11-30,252600,3,0.61,0.65,0.499,0.00101,0.10400000000000001,-9.464,0.0286,110.29700000000001,4
Tapão Nervoso,Tapão Nervoso,Mc Vênus,2020-09-01,151797,1,0.0824,0.763,0.879,7.159999999999999e-05,0.213,-3.654,0.109,164.96200000000002,4
Despedida De Casal,Ressaca Carnaval Sofrência,Various Artists,2021-03-05,180576,1,0.6579999999999999,0.925,0.35,0.0,0.115,-7.507000000000001,0.0649,107.98899999999999,4
Changes,Changes,Hayd,2020-11-13,214814,4,0.9390000000000001,0.648,0.115,3.8799999999999994e-05,0.11,-17.133,0.0445,119.96700000000001,4
Todas As Cores,Todas As Cores,Vanguart,2018-03-16,215560,1,0.000612,0.498,0.838,1.4499999999999998e-05,0.16699999999999998,-5.507999999999999,0.0299,132.909,4
I Think I'm In Love,My Garden,Kat Dahlia,2015-01-09,202666,4,0.13699999999999998,0.632,0.638,0.0,0.125,-6.731,0.0505,121.868,3
Tapão Na Raba,Som No Talo,Raí Saia Rodada,2021-01-22,175046,5,0.462,0.8079999999999999,0.7959999999999999,0.000269,0.155,-3.1689999999999996,0.0305,128.048,4
Rap dos Hokages: A Vontade do Fogo (Nerd Hits),Rap dos Hokages: A Vontade do Fogo (Nerd Hits),7 Minutoz,2020-12-25,561495,4,0.379,0.467,0.657,0.0,0.344,-6.559,0.12,125.051,4
Not Today,Me Before You (Original Motion Picture Soundtrack),Various Artists,2016-06-03,261079,4,0.5670000000000001,0.462,0.387,0.0,0.16399999999999998,-7.401,0.0292,122.698,4
Pompeii,Bad Blood,Bastille,2013-01-01,214147,4,0.0755,0.679,0.715,0.0,0.271,-6.382999999999999,0.0407,127.435,4
Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,1991-09-24,264306,5,0.0576,0.5589999999999999,0.345,0.000105,0.141,-13.495999999999999,0.0459,84.581,4
SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,5,0.00513,0.8340000000000001,0.73,0.0,0.124,-3.714,0.222,155.00799999999998,4
Darkness and Light (feat. Brittany Howard),DARKNESS AND LIGHT,John Legend,2016-12-02,230800,2,0.16,0.593,0.7829999999999999,7.91e-05,0.0765,-3.717,0.183,121.77799999999999,4
Canção da Terra,A Sociedade do Espetáculo,O Teatro Mágico,2016-01-09,235939,1,0.8220000000000001,0.474,0.45299999999999996,0.000146,0.154,-13.748,0.0389,161.73,3
"Amarelo, azul e branco",COR,ANAVITÓRIA,2021-01-01,201452,4,0.125,0.589,0.542,3.3100000000000005e-05,0.0883,-8.359,0.0746,100.884,4
Acaso,Natal,Gabriel O Príncipe,2020-12-29,244897,3,0.618,0.847,0.503,0.0239,0.163,-9.222000000000001,0.0351,143.05100000000002,4
Cai de vagarinho até embaixo,Cai de vagarinho até embaixo,Mc Rennan,2021-03-08,133201,1,0.535,0.94,0.44,2.48e-06,0.106,-10.993,0.479,130.27100000000002,4
Som do Paredão,Som do Paredão,MC Vertinho,2020-11-19,185730,2,0.37799999999999995,0.638,0.847,0.00158,0.433,-3.9789999999999996,0.111,194.03400000000002,4
Pirocada de Bandido (feat. MC GW & Mc India),Pirocada de Bandido (feat. MC GW & Mc India),Barca Na Batida,2020-11-30,159764,3,0.10400000000000001,0.8390000000000001,0.7879999999999999,0.00851,0.161,-4.725,0.168,165.021,4
Apaga a Luz Apaga Tudo 150Bpm,Apaga a Luz Apaga Tudo 150Bpm,Mc Topre,2021-02-22,147330,2,0.145,0.795,0.8809999999999999,0.0401,0.40700000000000003,-1.214,0.371,75.179,4
Se Envolve Com os Função (feat. Mc Dricka),Se Envolve Com os Função (feat. Mc Dricka),DJ Romulo MPC,2021-01-06,144307,1,0.228,0.718,0.522,0.0,0.13,-3.509,0.777,125.965,4
"Eu Caçava as Puta, Agora as Puta Que Me Caça (feat. Mc Topre)","Eu Caçava as Puta, Agora as Puta Que Me Caça (feat. Mc Topre)",Two Maloka,2020-12-01,163677,3,0.228,0.953,0.6659999999999999,1.58e-06,0.838,-4.968,0.209,130.023,4
Esquema Preferido - Ao Vivo,Da Roça Pra Cidade (Ao Vivo),Os Barões Da Pisadinha,2021-01-22,201973,5,0.363,0.62,0.943,0.0,0.0705,-2.171,0.0435,167.945,4
Unsteady,VHS,X Ambassadors,2015-06-30,193546,5,0.17800000000000002,0.389,0.665,0.000732,0.11599999999999999,-6.169,0.0644,117.055,4
Cheiro De Amor,Mel,Maria Bethânia,1979-01-01,141200,3,0.126,0.63,0.525,0.0,0.0834,-12.425999999999998,0.0402,127.689,4
Talking to the Moon,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,217866,5,0.512,0.523,0.606,0.0,0.106,-4.754,0.0301,145.83700000000002,4
Survivor,Sequels,2WEI,2018-09-20,195232,4,0.10300000000000001,0.348,0.547,0.24,0.1,-10.288,0.068,132.941,4
Thinking out Loud,x (Deluxe Edition),Ed Sheeran,2014-06-21,281560,5,0.474,0.7809999999999999,0.445,0.0,0.184,-6.061,0.0295,78.998,4
Maniac (Flashdance Version) [Re-Recorded],"Disco Hits of The '70s, '80s & '90s",Various Artists,2013-07-17,259134,1,0.0048200000000000005,0.637,0.73,0.000449,0.0251,-7.367999999999999,0.034,157.202,4
Nem Doeu - Ao Vivo,Sofrencia na Piscina,Various Artists,2021-02-26,173503,1,0.145,0.591,0.887,0.0,0.23,-7.909,0.23600000000000002,159.85399999999998,4
Ooh Ahh (My Life Be Like) (feat. Toby Mac),The Art of Translation,Grits,2002-08-06,233173,4,0.114,0.757,0.862,0.000192,0.285,-3.5189999999999997,0.0695,99.021,4
Ransom,We Love You Tecca,Lil Tecca,2019-08-30,131240,5,0.0204,0.745,0.642,0.0,0.0658,-6.257000000000001,0.287,179.97400000000002,4
Unsteady - Erich Lee Gravity Remix,Me Before You (Original Motion Picture Soundtrack),Various Artists,2016-06-03,204586,3,0.0112,0.345,0.574,1.6100000000000002e-05,0.34299999999999997,-7.431,0.0435,116.679,4
Vou falar que não quero,Piseiro Apaixonado,Vitor Fernandes,2021-02-04,186831,4,0.5920000000000001,0.665,0.705,3.91e-05,0.16399999999999998,-5.457999999999999,0.0317,155.994,4
Vibe for Me (Bob for Me),Vibe for Me (Bob for Me),Aqyila,2020-12-26,151787,4,0.45399999999999996,0.883,0.28800000000000003,3.39e-06,0.0917,-13.190999999999999,0.109,119.932,4
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",The Definitive Collection,Eric Carmen,1997,251066,5,0.011000000000000001,0.7120000000000001,0.5489999999999999,0.0,0.11800000000000001,-9.484,0.0254,109.882,4
Lil Bebe (feat. Lil Baby) - Remix,The Plan,DaniLeigh,2018-11-30,174720,3,0.0481,0.856,0.485,0.0,0.10800000000000001,-5.519,0.0597,136.005,4
Jealous,Jealous,Eyedress,2019-12-06,122338,5,0.00491,0.474,0.9209999999999999,0.8590000000000001,0.47600000000000003,-10.431,0.0457,93.007,4
Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,5,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059000000000000004,85.04299999999999,4
Numb,Max Jury,Max Jury,2016-06-03,250414,2,0.11699999999999999,0.6679999999999999,0.46399999999999997,0.00656,0.267,-7.14,0.0327,117.07700000000001,4
God Damn,DUALITY,I.M,2021-02-19,207759,4,0.152,0.736,0.87,0.0,0.179,-5.999,0.276,149.958,4
California Gurls (Mstrkrft Main Mix) [feat. Snoop Dogg],Dance Mix USA Vol. 2 (Mixed by Louie Devito) [Continuous DJ Mix],Dance Mix USA,2011-11-01,206773,1,0.00562,0.588,0.73,0.0,0.344,-6.254,0.0735,130.001,4
Acaso,Piseiro Atualizado,Vitor Fernandes,2020-07-28,200890,5,0.27899999999999997,0.599,0.882,0.00156,0.309,-3.123,0.04,156.015,4
Bloqueia Eu - Remix,Bloqueia Eu (Remix),DJ Lucas Beat,2021-02-12,129908,3,0.8390000000000001,0.61,0.688,4.2999999999999995e-06,0.222,-4.423,0.0793,129.306,4
Invincible,Rising Trailer Vocal Pop,Boris Nonte,2020-12-11,132327,1,0.0165,0.502,0.773,0.449,0.0717,-5.602,0.0618,180.005,3
MUSA DO INVERNO,MUSA DO INVERNO,Lagum,2021-01-28,151904,4,0.152,0.8590000000000001,0.654,2.87e-06,0.132,-7.502999999999999,0.0434,134.94,4
Bad Karma,Bad Karma,Axel Thesleff,2014-04-21,416000,4,0.0131,0.7,0.546,0.0305,0.172,-7.705,0.109,80.00399999999999,4
COPYCAT,dont smile at me,Billie Eilish,2017-12-22,194711,5,0.353,0.679,0.38799999999999996,9.25e-05,0.341,-10.977,0.0932,124.90899999999999,4
Under Pressure - Remastered 2011 / New Master,The Platinum Collection (Greatest Hits I II & III - 2011 Remaster),Queen,2011,246426,1,0.41200000000000003,0.669,0.7070000000000001,0.0,0.10800000000000001,-7.88,0.0488,113.729,4
Past Lives,Dopamine,BØRNS,2015-10-16,274320,3,0.0664,0.743,0.685,6.75e-05,0.0884,-6.8629999999999995,0.0975,109.988,4
Cities In Dust,Tinderbox,Siouxsie and the Banshees,1986-04-21,231573,3,0.0572,0.561,0.9740000000000001,0.0,0.244,-5.178,0.113,120.29700000000001,4
I Feel A Sin Comin' On,Annie Up,Pistol Annies,2013-05-07,198640,2,0.5539999999999999,0.38299999999999995,0.381,3.28e-06,0.0728,-9.126,0.0545,82.169,4
Lalala,Lalala,Y2K,2019-06-28,160626,5,0.18100000000000002,0.843,0.391,0.0,0.13699999999999998,-7.899,0.0845,129.972,4
Fix You,X&Y,Coldplay,2005-06-07,295533,5,0.16399999999999998,0.209,0.41700000000000004,0.00196,0.113,-8.74,0.0338,138.178,4
Love by Grace,Lara Fabian,Lara Fabian,2000-05-26,247706,2,0.7140000000000001,0.41600000000000004,0.376,0.0,0.10400000000000001,-8.764,0.0322,137.69899999999998,4
Dig,Light Grenades,Incubus,2006-11-28,257253,3,0.0293,0.45,0.895,0.0,0.11599999999999999,-4.739,0.0386,77.577,4
CORINGA,CORINGA,Jão,2021-02-25,187080,4,0.0315,0.73,0.5660000000000001,0.0,0.191,-5.399,0.0503,96.95200000000001,4
BIG BANK,BIG BANK,jusLo,2021-02-05,103141,1,0.10800000000000001,0.868,0.534,0.0,0.0817,-8.088,0.389,142.072,4
Oops!...I Did It Again,Oops!... I Did It Again,Britney Spears,2000-05-16,211160,5,0.3,0.7509999999999999,0.8340000000000001,1.77e-05,0.355,-5.444,0.0437,95.053,4
Immigrant Song - Remaster,Led Zeppelin III (Remaster),Led Zeppelin,1970,146250,5,0.013000000000000001,0.564,0.932,0.16899999999999998,0.349,-10.068,0.0554,112.93700000000001,4
Order Through Chaos,A War Story : Book 1,The Psycho Realm,1999-01-01,296693,1,0.0591,0.737,0.5589999999999999,0.00172,0.5589999999999999,-11.285,0.10400000000000001,101.086,4
MEGA PRA ELAS JOGA (MC MR BIM E MC SACI DJ WESLEY GONZAGA),MEGA PRA ELAS JOGA (MC MR BIM E MC SACI DJ WESLEY GONZAGA),Dj Wesley Gonzaga,2021-01-18,142236,2,0.13699999999999998,0.895,0.743,6.96e-05,0.0654,0.28300000000000003,0.336,129.746,4
